Created by PLY version 3.7 (http://www.dabeaz.com/ply)

Unused terminals:

    UMINUS
    MULTILINECOMMENT
    LINECOMMENT

Grammar

Rule 0     S' -> Program
    LEFTBRACE       reduce using rule 47 (Stmt -> Block .)
    THIS            reduce using rule 47 (Stmt -> Block .)
    NEW             reduce using rule 47 (Stmt -> Block .)
    INT             reduce using rule 47 (Stmt -> Block .)
    STRING          reduce using rule 47 (Stmt -> Block .)
    TRUE            reduce using rule 47 (Stmt -> Block .)
    FALSE           reduce using rule 47 (Stmt -> Block .)
    NULL            reduce using rule 47 (Stmt -> Block .)
    LEFTPARENT      reduce using rule 47 (Stmt -> Block .)
    NOT             reduce using rule 47 (Stmt -> Block .)
    CIENTIFIC       reduce using rule 47 (Stmt -> Block .)
    HEXADEC         reduce using rule 47 (Stmt -> Block .)
    NUMBER          reduce using rule 47 (Stmt -> Block .)
    BINARY          reduce using rule 47 (Stmt -> Block .)
    FLOAT           reduce using rule 47 (Stmt -> Block .)
    SUBSTRACTION    reduce using rule 47 (Stmt -> Block .)
    RIGHTBRACE      reduce using rule 47 (Stmt -> Block .)
    ELSE            reduce using rule 47 (Stmt -> Block .)


state 87

    (62) IfStmt -> IF . LEFTPARENT Expr RIGHTPARENT Stmt ElseStmt

    LEFTPARENT      shift and go to state 132


state 88

    (72) Expr -> ExprBinaryExpr .

    COMMA           reduce using rule 72 (Expr -> ExprBinaryExpr .)
    SEMICOLON       reduce using rule 72 (Expr -> ExprBinaryExpr .)
    DOT             reduce using rule 72 (Expr -> ExprBinaryExpr .)
    LEFTSQRBRACKET  reduce using rule 72 (Expr -> ExprBinaryExpr .)
    RIGHTSQRBRACKET reduce using rule 72 (Expr -> ExprBinaryExpr .)
    RIGHTPARENT     reduce using rule 72 (Expr -> ExprBinaryExpr .)
    ADDITION        reduce using rule 72 (Expr -> ExprBinaryExpr .)
    SUBSTRACTION    reduce using rule 72 (Expr -> ExprBinaryExpr .)
    MULTIPLICATION  reduce using rule 72 (Expr -> ExprBinaryExpr .)
    DIVISION        reduce using rule 72 (Expr -> ExprBinaryExpr .)
    MODULO          reduce using rule 72 (Expr -> ExprBinaryExpr .)
    AND             reduce using rule 72 (Expr -> ExprBinaryExpr .)
    OR              reduce using rule 72 (Expr -> ExprBinaryExpr .)
    CONCAT          reduce using rule 72 (Expr -> ExprBinaryExpr .)
    LESS            reduce using rule 72 (Expr -> ExprBinaryExpr .)
    LESSEQUAL       reduce using rule 72 (Expr -> ExprBinaryExpr .)
    GREATER         reduce using rule 72 (Expr -> ExprBinaryExpr .)
    GREATEREQUAL    reduce using rule 72 (Expr -> ExprBinaryExpr .)
    EQUAL           reduce using rule 72 (Expr -> ExprBinaryExpr .)
    NOTEQUAL        reduce using rule 72 (Expr -> ExprBinaryExpr .)


state 89

    (100) Literal -> FALSE .

    COMMA           reduce using rule 100 (Literal -> FALSE .)
    SEMICOLON       reduce using rule 100 (Literal -> FALSE .)
    DOT             reduce using rule 100 (Literal -> FALSE .)
    LEFTSQRBRACKET  reduce using rule 100 (Literal -> FALSE .)
    RIGHTSQRBRACKET reduce using rule 100 (Literal -> FALSE .)
    RIGHTPARENT     reduce using rule 100 (Literal -> FALSE .)
    ADDITION        reduce using rule 100 (Literal -> FALSE .)
    SUBSTRACTION    reduce using rule 100 (Literal -> FALSE .)
    MULTIPLICATION  reduce using rule 100 (Literal -> FALSE .)
    DIVISION        reduce using rule 100 (Literal -> FALSE .)
    MODULO          reduce using rule 100 (Literal -> FALSE .)
    AND             reduce using rule 100 (Literal -> FALSE .)
    OR              reduce using rule 100 (Literal -> FALSE .)
    CONCAT          reduce using rule 100 (Literal -> FALSE .)
    LESS            reduce using rule 100 (Literal -> FALSE .)
    LESSEQUAL       reduce using rule 100 (Literal -> FALSE .)
    GREATER         reduce using rule 100 (Literal -> FALSE .)
    GREATEREQUAL    reduce using rule 100 (Literal -> FALSE .)
    EQUAL           reduce using rule 100 (Literal -> FALSE .)
    NOTEQUAL        reduce using rule 100 (Literal -> FALSE .)


state 90

    (68) Expr -> THIS .

    COMMA           reduce using rule 68 (Expr -> THIS .)
    SEMICOLON       reduce using rule 68 (Expr -> THIS .)
    DOT             reduce using rule 68 (Expr -> THIS .)
    LEFTSQRBRACKET  reduce using rule 68 (Expr -> THIS .)
    RIGHTSQRBRACKET reduce using rule 68 (Expr -> THIS .)
    RIGHTPARENT     reduce using rule 68 (Expr -> THIS .)
    ADDITION        reduce using rule 68 (Expr -> THIS .)
    SUBSTRACTION    reduce using rule 68 (Expr -> THIS .)
    MULTIPLICATION  reduce using rule 68 (Expr -> THIS .)
    DIVISION        reduce using rule 68 (Expr -> THIS .)
    MODULO          reduce using rule 68 (Expr -> THIS .)
    AND             reduce using rule 68 (Expr -> THIS .)
    OR              reduce using rule 68 (Expr -> THIS .)
    CONCAT          reduce using rule 68 (Expr -> THIS .)
    LESS            reduce using rule 68 (Expr -> THIS .)
    LESSEQUAL       reduce using rule 68 (Expr -> THIS .)
    GREATER         reduce using rule 68 (Expr -> THIS .)
    GREATEREQUAL    reduce using rule 68 (Expr -> THIS .)
    EQUAL           reduce using rule 68 (Expr -> THIS .)
    NOTEQUAL        reduce using rule 68 (Expr -> THIS .)


state 91

    (107) Number -> FLOAT .

    COMMA           reduce using rule 107 (Number -> FLOAT .)
    SEMICOLON       reduce using rule 107 (Number -> FLOAT .)
    DOT             reduce using rule 107 (Number -> FLOAT .)
    LEFTSQRBRACKET  reduce using rule 107 (Number -> FLOAT .)
    RIGHTSQRBRACKET reduce using rule 107 (Number -> FLOAT .)
    RIGHTPARENT     reduce using rule 107 (Number -> FLOAT .)
    ADDITION        reduce using rule 107 (Number -> FLOAT .)
    SUBSTRACTION    reduce using rule 107 (Number -> FLOAT .)
    MULTIPLICATION  reduce using rule 107 (Number -> FLOAT .)
    DIVISION        reduce using rule 107 (Number -> FLOAT .)
    MODULO          reduce using rule 107 (Number -> FLOAT .)
    AND             reduce using rule 107 (Number -> FLOAT .)
    OR              reduce using rule 107 (Number -> FLOAT .)
    CONCAT          reduce using rule 107 (Number -> FLOAT .)
    LESS            reduce using rule 107 (Number -> FLOAT .)
    LESSEQUAL       reduce using rule 107 (Number -> FLOAT .)
    GREATER         reduce using rule 107 (Number -> FLOAT .)
    GREATEREQUAL    reduce using rule 107 (Number -> FLOAT .)
    EQUAL           reduce using rule 107 (Number -> FLOAT .)
    NOTEQUAL        reduce using rule 107 (Number -> FLOAT .)


state 92

    (74) Expr -> Literal .

    COMMA           reduce using rule 74 (Expr -> Literal .)
    SEMICOLON       reduce using rule 74 (Expr -> Literal .)
    DOT             reduce using rule 74 (Expr -> Literal .)
    LEFTSQRBRACKET  reduce using rule 74 (Expr -> Literal .)
    RIGHTSQRBRACKET reduce using rule 74 (Expr -> Literal .)
    RIGHTPARENT     reduce using rule 74 (Expr -> Literal .)
    ADDITION        reduce using rule 74 (Expr -> Literal .)
    SUBSTRACTION    reduce using rule 74 (Expr -> Literal .)
    MULTIPLICATION  reduce using rule 74 (Expr -> Literal .)
    DIVISION        reduce using rule 74 (Expr -> Literal .)
    MODULO          reduce using rule 74 (Expr -> Literal .)
    AND             reduce using rule 74 (Expr -> Literal .)
    OR              reduce using rule 74 (Expr -> Literal .)
    CONCAT          reduce using rule 74 (Expr -> Literal .)
    LESS            reduce using rule 74 (Expr -> Literal .)
    LESSEQUAL       reduce using rule 74 (Expr -> Literal .)
    GREATER         reduce using rule 74 (Expr -> Literal .)
    GREATEREQUAL    reduce using rule 74 (Expr -> Literal .)
    EQUAL           reduce using rule 74 (Expr -> Literal .)
    NOTEQUAL        reduce using rule 74 (Expr -> Literal .)


state 93

    (94) UnaryExpr -> UnaryMinus .

    COMMA           reduce using rule 94 (UnaryExpr -> UnaryMinus .)
    SEMICOLON       reduce using rule 94 (UnaryExpr -> UnaryMinus .)
    DOT             reduce using rule 94 (UnaryExpr -> UnaryMinus .)
    LEFTSQRBRACKET  reduce using rule 94 (UnaryExpr -> UnaryMinus .)
    RIGHTSQRBRACKET reduce using rule 94 (UnaryExpr -> UnaryMinus .)
    RIGHTPARENT     reduce using rule 94 (UnaryExpr -> UnaryMinus .)
    ADDITION        reduce using rule 94 (UnaryExpr -> UnaryMinus .)
    SUBSTRACTION    reduce using rule 94 (UnaryExpr -> UnaryMinus .)
    MULTIPLICATION  reduce using rule 94 (UnaryExpr -> UnaryMinus .)
    DIVISION        reduce using rule 94 (UnaryExpr -> UnaryMinus .)
    MODULO          reduce using rule 94 (UnaryExpr -> UnaryMinus .)
    AND             reduce using rule 94 (UnaryExpr -> UnaryMinus .)
    OR              reduce using rule 94 (UnaryExpr -> UnaryMinus .)
    CONCAT          reduce using rule 94 (UnaryExpr -> UnaryMinus .)
    LESS            reduce using rule 94 (UnaryExpr -> UnaryMinus .)
    LESSEQUAL       reduce using rule 94 (UnaryExpr -> UnaryMinus .)
    GREATER         reduce using rule 94 (UnaryExpr -> UnaryMinus .)
    GREATEREQUAL    reduce using rule 94 (UnaryExpr -> UnaryMinus .)
    EQUAL           reduce using rule 94 (UnaryExpr -> UnaryMinus .)
    NOTEQUAL        reduce using rule 94 (UnaryExpr -> UnaryMinus .)


state 94

    (45) Stmt -> BREAK . SEMICOLON

    SEMICOLON       shift and go to state 133


state 95

    (46) Stmt -> CONTINUE . SEMICOLON

    SEMICOLON       shift and go to state 134


state 96

    (95) UnaryExpr -> NOT .

    COMMA           reduce using rule 95 (UnaryExpr -> NOT .)
    SEMICOLON       reduce using rule 95 (UnaryExpr -> NOT .)
    DOT             reduce using rule 95 (UnaryExpr -> NOT .)
    LEFTSQRBRACKET  reduce using rule 95 (UnaryExpr -> NOT .)
    RIGHTSQRBRACKET reduce using rule 95 (UnaryExpr -> NOT .)
    RIGHTPARENT     reduce using rule 95 (UnaryExpr -> NOT .)
    ADDITION        reduce using rule 95 (UnaryExpr -> NOT .)
    SUBSTRACTION    reduce using rule 95 (UnaryExpr -> NOT .)
    MULTIPLICATION  reduce using rule 95 (UnaryExpr -> NOT .)
    DIVISION        reduce using rule 95 (UnaryExpr -> NOT .)
    MODULO          reduce using rule 95 (UnaryExpr -> NOT .)
    AND             reduce using rule 95 (UnaryExpr -> NOT .)
    OR              reduce using rule 95 (UnaryExpr -> NOT .)
    CONCAT          reduce using rule 95 (UnaryExpr -> NOT .)
    LESS            reduce using rule 95 (UnaryExpr -> NOT .)
    LESSEQUAL       reduce using rule 95 (UnaryExpr -> NOT .)
    GREATER         reduce using rule 95 (UnaryExpr -> NOT .)
    GREATEREQUAL    reduce using rule 95 (UnaryExpr -> NOT .)
    EQUAL           reduce using rule 95 (UnaryExpr -> NOT .)
    NOTEQUAL        reduce using rule 95 (UnaryExpr -> NOT .)


state 97

    (96) UnaryMinus -> SUBSTRACTION . Expr
    (66) Expr -> . Location
    (67) Expr -> . Call
    (68) Expr -> . THIS
    (69) Expr -> . NewId
    (70) Expr -> . NewTypeExpr
    (71) Expr -> . ExprLength
    (72) Expr -> . ExprBinaryExpr
    (73) Expr -> . UnaryExpr
    (74) Expr -> . Literal
    (75) Expr -> . Number
    (76) Expr -> . ParentExprParent
    (49) Location -> . IDEN
    (50) Location -> . Expr DOT IDEN
    (51) Location -> . Expr LEFTSQRBRACKET Expr RIGHTSQRBRACKET
    (52) Call -> . Method LEFTPARENT Actuals RIGHTPARENT
    (77) NewId -> . NEW IDEN LEFTPARENT RIGHTPARENT
    (78) NewTypeExpr -> . NEW Type LEFTSQRBRACKET Expr LEFTSQRBRACKET
    (79) ExprLength -> . Expr DOT LENGTH
    (80) ExprBinaryExpr -> . Expr ADDITION Expr
    (81) ExprBinaryExpr -> . Expr SUBSTRACTION Expr
    (82) ExprBinaryExpr -> . Expr MULTIPLICATION Expr
    (83) ExprBinaryExpr -> . Expr DIVISION Expr
    (84) ExprBinaryExpr -> . Expr MODULO Expr
    (85) ExprBinaryExpr -> . Expr AND Expr
    (86) ExprBinaryExpr -> . Expr OR Expr
    (87) ExprBinaryExpr -> . Expr CONCAT Expr
    (88) ExprBinaryExpr -> . Expr LESS Expr
    (89) ExprBinaryExpr -> . Expr LESSEQUAL Expr
    (90) ExprBinaryExpr -> . Expr GREATER Expr
    (91) ExprBinaryExpr -> . Expr GREATEREQUAL Expr
    (92) ExprBinaryExpr -> . Expr EQUAL Expr
    (93) ExprBinaryExpr -> . Expr NOTEQUAL Expr
    (94) UnaryExpr -> . UnaryMinus
    (95) UnaryExpr -> . NOT
    (97) Literal -> . INT
    (98) Literal -> . STRING
    (99) Literal -> . TRUE
    (100) Literal -> . FALSE
    (101) Literal -> . NULL
    (103) Number -> . CIENTIFIC
    (104) Number -> . HEXADEC
    (105) Number -> . NUMBER
    (106) Number -> . BINARY
    (107) Number -> . FLOAT
    (102) ParentExprParent -> . LEFTPARENT Expr RIGHTPARENT
    (53) Method -> . IDEN
    (54) Method -> . Expr DOT IDEN
    (96) UnaryMinus -> . SUBSTRACTION Expr

    THIS            shift and go to state 90
    IDEN            shift and go to state 57
    NEW             shift and go to state 64
    NOT             shift and go to state 96
    INT             shift and go to state 75
    STRING          shift and go to state 77
    TRUE            shift and go to state 69
    FALSE           shift and go to state 89
    NULL            shift and go to state 65
    CIENTIFIC       shift and go to state 70
    HEXADEC         shift and go to state 81
    NUMBER          shift and go to state 98
    BINARY          shift and go to state 78
    FLOAT           shift and go to state 91
    LEFTPARENT      shift and go to state 84
    SUBSTRACTION    shift and go to state 97

    ExprBinaryExpr                 shift and go to state 88
    Method                         shift and go to state 66
    ExprLength                     shift and go to state 68
    NewTypeExpr                    shift and go to state 79
    Expr                           shift and go to state 135
    UnaryExpr                      shift and go to state 82
    Number                         shift and go to state 74
    Literal                        shift and go to state 92
    NewId                          shift and go to state 73
    Location                       shift and go to state 102
    Call                           shift and go to state 101
    ParentExprParent               shift and go to state 59
    UnaryMinus                     shift and go to state 93

state 98

    (105) Number -> NUMBER .

    COMMA           reduce using rule 105 (Number -> NUMBER .)
    SEMICOLON       reduce using rule 105 (Number -> NUMBER .)
    DOT             reduce using rule 105 (Number -> NUMBER .)
    LEFTSQRBRACKET  reduce using rule 105 (Number -> NUMBER .)
    RIGHTSQRBRACKET reduce using rule 105 (Number -> NUMBER .)
    RIGHTPARENT     reduce using rule 105 (Number -> NUMBER .)
    ADDITION        reduce using rule 105 (Number -> NUMBER .)
    SUBSTRACTION    reduce using rule 105 (Number -> NUMBER .)
    MULTIPLICATION  reduce using rule 105 (Number -> NUMBER .)
    DIVISION        reduce using rule 105 (Number -> NUMBER .)
    MODULO          reduce using rule 105 (Number -> NUMBER .)
    AND             reduce using rule 105 (Number -> NUMBER .)
    OR              reduce using rule 105 (Number -> NUMBER .)
    CONCAT          reduce using rule 105 (Number -> NUMBER .)
    LESS            reduce using rule 105 (Number -> NUMBER .)
    LESSEQUAL       reduce using rule 105 (Number -> NUMBER .)
    GREATER         reduce using rule 105 (Number -> NUMBER .)
    GREATEREQUAL    reduce using rule 105 (Number -> NUMBER .)
    EQUAL           reduce using rule 105 (Number -> NUMBER .)
    NOTEQUAL        reduce using rule 105 (Number -> NUMBER .)


state 99

    (33) VarDeclList -> Type IDEN . ExpDecl ExpDeclList SEMICOLON VarDeclList
    (38) ExpDecl -> . ASSIGNMENT Expr
    (39) ExpDecl -> . empty
    (108) empty -> .

    ASSIGNMENT      shift and go to state 136
    $end            reduce using rule 108 (empty -> .)
    LEFTBRACE       reduce using rule 108 (empty -> .)
    RIGHTBRACE      reduce using rule 108 (empty -> .)
    SEMICOLON       reduce using rule 108 (empty -> .)
    RIGHTPARENT     reduce using rule 108 (empty -> .)
    RETURN          reduce using rule 108 (empty -> .)
    IF              reduce using rule 108 (empty -> .)
    BREAK           reduce using rule 108 (empty -> .)
    CONTINUE        reduce using rule 108 (empty -> .)
    IDEN            reduce using rule 108 (empty -> .)
    WHILE           reduce using rule 108 (empty -> .)
    THIS            reduce using rule 108 (empty -> .)
    NEW             reduce using rule 108 (empty -> .)
    INT             reduce using rule 108 (empty -> .)
    STRING          reduce using rule 108 (empty -> .)
    TRUE            reduce using rule 108 (empty -> .)
    FALSE           reduce using rule 108 (empty -> .)
    NULL            reduce using rule 108 (empty -> .)
    LEFTPARENT      reduce using rule 108 (empty -> .)
    NOT             reduce using rule 108 (empty -> .)
    CIENTIFIC       reduce using rule 108 (empty -> .)
    HEXADEC         reduce using rule 108 (empty -> .)
    NUMBER          reduce using rule 108 (empty -> .)
    BINARY          reduce using rule 108 (empty -> .)
    FLOAT           reduce using rule 108 (empty -> .)
    SUBSTRACTION    reduce using rule 108 (empty -> .)
    COMMA           reduce using rule 108 (empty -> .)
    ELSE            reduce using rule 108 (empty -> .)

    ExpDecl                        shift and go to state 137
    empty                          shift and go to state 138

state 100

    (23) CommaTypeId -> COMMA Type IDEN .

    COMMA           reduce using rule 23 (CommaTypeId -> COMMA Type IDEN .)
    RIGHTPARENT     reduce using rule 23 (CommaTypeId -> COMMA Type IDEN .)


state 101

    (67) Expr -> Call .

    COMMA           reduce using rule 67 (Expr -> Call .)
    SEMICOLON       reduce using rule 67 (Expr -> Call .)
    DOT             reduce using rule 67 (Expr -> Call .)
    LEFTSQRBRACKET  reduce using rule 67 (Expr -> Call .)
    RIGHTSQRBRACKET reduce using rule 67 (Expr -> Call .)
    RIGHTPARENT     reduce using rule 67 (Expr -> Call .)
    ADDITION        reduce using rule 67 (Expr -> Call .)
    SUBSTRACTION    reduce using rule 67 (Expr -> Call .)
    MULTIPLICATION  reduce using rule 67 (Expr -> Call .)
    DIVISION        reduce using rule 67 (Expr -> Call .)
    MODULO          reduce using rule 67 (Expr -> Call .)
    AND             reduce using rule 67 (Expr -> Call .)
    OR              reduce using rule 67 (Expr -> Call .)
    CONCAT          reduce using rule 67 (Expr -> Call .)
    LESS            reduce using rule 67 (Expr -> Call .)
    LESSEQUAL       reduce using rule 67 (Expr -> Call .)
    GREATER         reduce using rule 67 (Expr -> Call .)
    GREATEREQUAL    reduce using rule 67 (Expr -> Call .)
    EQUAL           reduce using rule 67 (Expr -> Call .)
    NOTEQUAL        reduce using rule 67 (Expr -> Call .)


state 102

    (66) Expr -> Location .

    COMMA           reduce using rule 66 (Expr -> Location .)
    SEMICOLON       reduce using rule 66 (Expr -> Location .)
    DOT             reduce using rule 66 (Expr -> Location .)
    LEFTSQRBRACKET  reduce using rule 66 (Expr -> Location .)
    RIGHTSQRBRACKET reduce using rule 66 (Expr -> Location .)
    RIGHTPARENT     reduce using rule 66 (Expr -> Location .)
    ADDITION        reduce using rule 66 (Expr -> Location .)
    SUBSTRACTION    reduce using rule 66 (Expr -> Location .)
    MULTIPLICATION  reduce using rule 66 (Expr -> Location .)
    DIVISION        reduce using rule 66 (Expr -> Location .)
    MODULO          reduce using rule 66 (Expr -> Location .)
    AND             reduce using rule 66 (Expr -> Location .)
    OR              reduce using rule 66 (Expr -> Location .)
    CONCAT          reduce using rule 66 (Expr -> Location .)
    LESS            reduce using rule 66 (Expr -> Location .)
    LESSEQUAL       reduce using rule 66 (Expr -> Location .)
    GREATER         reduce using rule 66 (Expr -> Location .)
    GREATEREQUAL    reduce using rule 66 (Expr -> Location .)
    EQUAL           reduce using rule 66 (Expr -> Location .)
    NOTEQUAL        reduce using rule 66 (Expr -> Location .)


state 103

    (61) ReturnExpr -> empty .

    SEMICOLON       reduce using rule 61 (ReturnExpr -> empty .)


state 104

    (60) ReturnExpr -> Expr .
    (50) Location -> Expr . DOT IDEN
    (51) Location -> Expr . LEFTSQRBRACKET Expr RIGHTSQRBRACKET
    (79) ExprLength -> Expr . DOT LENGTH
    (80) ExprBinaryExpr -> Expr . ADDITION Expr
    (81) ExprBinaryExpr -> Expr . SUBSTRACTION Expr
    (82) ExprBinaryExpr -> Expr . MULTIPLICATION Expr
    (83) ExprBinaryExpr -> Expr . DIVISION Expr
    (84) ExprBinaryExpr -> Expr . MODULO Expr
    (85) ExprBinaryExpr -> Expr . AND Expr
    (86) ExprBinaryExpr -> Expr . OR Expr
    (87) ExprBinaryExpr -> Expr . CONCAT Expr
    (88) ExprBinaryExpr -> Expr . LESS Expr
    (89) ExprBinaryExpr -> Expr . LESSEQUAL Expr
    (90) ExprBinaryExpr -> Expr . GREATER Expr
    (91) ExprBinaryExpr -> Expr . GREATEREQUAL Expr
    (92) ExprBinaryExpr -> Expr . EQUAL Expr
    (93) ExprBinaryExpr -> Expr . NOTEQUAL Expr
    (54) Method -> Expr . DOT IDEN

    SEMICOLON       reduce using rule 60 (ReturnExpr -> Expr .)
    DOT             shift and go to state 139
    LEFTSQRBRACKET  shift and go to state 121
    ADDITION        shift and go to state 119
    SUBSTRACTION    shift and go to state 127
    MULTIPLICATION  shift and go to state 126
    DIVISION        shift and go to state 115
    MODULO          shift and go to state 116
    AND             shift and go to state 114
    OR              shift and go to state 128
    CONCAT          shift and go to state 124
    LESS            shift and go to state 118
    LESSEQUAL       shift and go to state 122
    GREATER         shift and go to state 117
    GREATEREQUAL    shift and go to state 120
    EQUAL           shift and go to state 125
    NOTEQUAL        shift and go to state 123


state 105

    (59) Return -> RETURN ReturnExpr . SEMICOLON

    SEMICOLON       shift and go to state 140


state 106

    (65) WhileStmt -> WHILE LEFTPARENT . Expr RIGHTPARENT Stmt
    (66) Expr -> . Location
    (67) Expr -> . Call
    (68) Expr -> . THIS
    (69) Expr -> . NewId
    (70) Expr -> . NewTypeExpr
    (71) Expr -> . ExprLength
    (72) Expr -> . ExprBinaryExpr
    (73) Expr -> . UnaryExpr
    (74) Expr -> . Literal
    (75) Expr -> . Number
    (76) Expr -> . ParentExprParent
    (49) Location -> . IDEN
    (50) Location -> . Expr DOT IDEN
    (51) Location -> . Expr LEFTSQRBRACKET Expr RIGHTSQRBRACKET
    (52) Call -> . Method LEFTPARENT Actuals RIGHTPARENT
    (77) NewId -> . NEW IDEN LEFTPARENT RIGHTPARENT
    (78) NewTypeExpr -> . NEW Type LEFTSQRBRACKET Expr LEFTSQRBRACKET
    (79) ExprLength -> . Expr DOT LENGTH
    (80) ExprBinaryExpr -> . Expr ADDITION Expr
    (81) ExprBinaryExpr -> . Expr SUBSTRACTION Expr
    (82) ExprBinaryExpr -> . Expr MULTIPLICATION Expr
    (83) ExprBinaryExpr -> . Expr DIVISION Expr
    (84) ExprBinaryExpr -> . Expr MODULO Expr
    (85) ExprBinaryExpr -> . Expr AND Expr
    (86) ExprBinaryExpr -> . Expr OR Expr
    (87) ExprBinaryExpr -> . Expr CONCAT Expr
    (88) ExprBinaryExpr -> . Expr LESS Expr
    (89) ExprBinaryExpr -> . Expr LESSEQUAL Expr
    (90) ExprBinaryExpr -> . Expr GREATER Expr
    (91) ExprBinaryExpr -> . Expr GREATEREQUAL Expr
    (92) ExprBinaryExpr -> . Expr EQUAL Expr
    (93) ExprBinaryExpr -> . Expr NOTEQUAL Expr
    (94) UnaryExpr -> . UnaryMinus
    (95) UnaryExpr -> . NOT
    (97) Literal -> . INT
    (98) Literal -> . STRING
    (99) Literal -> . TRUE
    (100) Literal -> . FALSE
    (101) Literal -> . NULL
    (103) Number -> . CIENTIFIC
    (104) Number -> . HEXADEC
    (105) Number -> . NUMBER
    (106) Number -> . BINARY
    (107) Number -> . FLOAT
    (102) ParentExprParent -> . LEFTPARENT Expr RIGHTPARENT
    (53) Method -> . IDEN
    (54) Method -> . Expr DOT IDEN
    (96) UnaryMinus -> . SUBSTRACTION Expr

    THIS            shift and go to state 90
    IDEN            shift and go to state 57
    NEW             shift and go to state 64
    NOT             shift and go to state 96
    INT             shift and go to state 75
    STRING          shift and go to state 77
    TRUE            shift and go to state 69
    FALSE           shift and go to state 89
    NULL            shift and go to state 65
    CIENTIFIC       shift and go to state 70
    HEXADEC         shift and go to state 81
    NUMBER          shift and go to state 98
    BINARY          shift and go to state 78
    FLOAT           shift and go to state 91
    LEFTPARENT      shift and go to state 84
    SUBSTRACTION    shift and go to state 97

    ExprBinaryExpr                 shift and go to state 88
    Method                         shift and go to state 66
    ExprLength                     shift and go to state 68
    NewTypeExpr                    shift and go to state 79
    Expr                           shift and go to state 141
    UnaryExpr                      shift and go to state 82
    Number                         shift and go to state 74
    Literal                        shift and go to state 92
    NewId                          shift and go to state 73
    Location                       shift and go to state 102
    Call                           shift and go to state 101
    ParentExprParent               shift and go to state 59
    UnaryMinus                     shift and go to state 93

state 107

    (41) Stmt -> Call SEMICOLON .

    RETURN          reduce using rule 41 (Stmt -> Call SEMICOLON .)
    IF              reduce using rule 41 (Stmt -> Call SEMICOLON .)
    BREAK           reduce using rule 41 (Stmt -> Call SEMICOLON .)
    CONTINUE        reduce using rule 41 (Stmt -> Call SEMICOLON .)
    IDEN            reduce using rule 41 (Stmt -> Call SEMICOLON .)
    WHILE           reduce using rule 41 (Stmt -> Call SEMICOLON .)
    LEFTBRACE       reduce using rule 41 (Stmt -> Call SEMICOLON .)
    THIS            reduce using rule 41 (Stmt -> Call SEMICOLON .)
    NEW             reduce using rule 41 (Stmt -> Call SEMICOLON .)
    INT             reduce using rule 41 (Stmt -> Call SEMICOLON .)
    STRING          reduce using rule 41 (Stmt -> Call SEMICOLON .)
    TRUE            reduce using rule 41 (Stmt -> Call SEMICOLON .)
    FALSE           reduce using rule 41 (Stmt -> Call SEMICOLON .)
    NULL            reduce using rule 41 (Stmt -> Call SEMICOLON .)
    LEFTPARENT      reduce using rule 41 (Stmt -> Call SEMICOLON .)
    NOT             reduce using rule 41 (Stmt -> Call SEMICOLON .)
    CIENTIFIC       reduce using rule 41 (Stmt -> Call SEMICOLON .)
    HEXADEC         reduce using rule 41 (Stmt -> Call SEMICOLON .)
    NUMBER          reduce using rule 41 (Stmt -> Call SEMICOLON .)
    BINARY          reduce using rule 41 (Stmt -> Call SEMICOLON .)
    FLOAT           reduce using rule 41 (Stmt -> Call SEMICOLON .)
    SUBSTRACTION    reduce using rule 41 (Stmt -> Call SEMICOLON .)
    RIGHTBRACE      reduce using rule 41 (Stmt -> Call SEMICOLON .)
    ELSE            reduce using rule 41 (Stmt -> Call SEMICOLON .)


state 108

    (48) Assign -> Location ASSIGNMENT . Expr
    (66) Expr -> . Location
    (67) Expr -> . Call
    (68) Expr -> . THIS
    (69) Expr -> . NewId
    (70) Expr -> . NewTypeExpr
    (71) Expr -> . ExprLength
    (72) Expr -> . ExprBinaryExpr
    (73) Expr -> . UnaryExpr
    (74) Expr -> . Literal
    (75) Expr -> . Number
    (76) Expr -> . ParentExprParent
    (49) Location -> . IDEN
    (50) Location -> . Expr DOT IDEN
    (51) Location -> . Expr LEFTSQRBRACKET Expr RIGHTSQRBRACKET
    (52) Call -> . Method LEFTPARENT Actuals RIGHTPARENT
    (77) NewId -> . NEW IDEN LEFTPARENT RIGHTPARENT
    (78) NewTypeExpr -> . NEW Type LEFTSQRBRACKET Expr LEFTSQRBRACKET
    (79) ExprLength -> . Expr DOT LENGTH
    (80) ExprBinaryExpr -> . Expr ADDITION Expr
    (81) ExprBinaryExpr -> . Expr SUBSTRACTION Expr
    (82) ExprBinaryExpr -> . Expr MULTIPLICATION Expr
    (83) ExprBinaryExpr -> . Expr DIVISION Expr
    (84) ExprBinaryExpr -> . Expr MODULO Expr
    (85) ExprBinaryExpr -> . Expr AND Expr
    (86) ExprBinaryExpr -> . Expr OR Expr
    (87) ExprBinaryExpr -> . Expr CONCAT Expr
    (88) ExprBinaryExpr -> . Expr LESS Expr
    (89) ExprBinaryExpr -> . Expr LESSEQUAL Expr
    (90) ExprBinaryExpr -> . Expr GREATER Expr
    (91) ExprBinaryExpr -> . Expr GREATEREQUAL Expr
